model,value,count
original,0,19683
original,1,196830
original,2,1082565
original,3,4133430
original,4,12183777
original,5,29367036
original,6,60426810
original,7,109850823
original,8,181969335
original,9,281722779
original,10,415567179
original,11,591060807
original,12,816509889
original,13,1100082870
original,14,1449121509
original,15,1867070331
original,16,2352059451
original,17,2897436015
original,18,3496862097
original,19,4145849973
original,20,4840876386
original,21,5574422430
original,22,6334875135
original,23,7105996026
original,24,7868751642
original,25,8600723046
original,26,9281439918
original,27,9896494302
original,28,10440040347
original,29,10908121770
original,30,11293357446
original,31,11582638497
original,32,11762639532
original,33,11823637149
original,34,11762639532
original,35,11582638497
original,36,11293357446
original,37,10908121770
original,38,10440040347
original,39,9896494302
original,40,9281439918
original,41,8600723046
original,42,7868751642
original,43,7105996026
original,44,6334875135
original,45,5574422430
original,46,4840876386
original,47,4145849973
original,48,3496862097
original,49,2897436015
original,50,2352059451
original,51,1867070331
original,52,1449121509
original,53,1100082870
original,54,816509889
original,55,591060807
original,56,415567179
original,57,281722779
original,58,181969335
original,59,109850823
original,60,60426810
original,61,29367036
original,62,12183777
original,63,4133430
original,64,1082565
original,65,196830
original,66,19683
mitigated,0,1
mitigated,1/4,7
mitigated,1/2,28
mitigated,11/16,1
mitigated,3/4,77
mitigated,15/16,7
mitigated,1,165
mitigated,19/16,28
mitigated,5/4,295
mitigated,11/8,6
mitigated,23/16,77
mitigated,3/2,476
mitigated,13/8,42
mitigated,27/16,165
mitigated,7/4,729
mitigated,15/8,168
mitigated,31/16,295
mitigated,2,1088
mitigated,33/16,5
mitigated,17/8,462
mitigated,35/16,476
mitigated,9/4,1565
mitigated,37/16,35
mitigated,19/8,991
mitigated,39/16,729
mitigated,5/2,2168
mitigated,41/16,140
mitigated,21/8,1777
mitigated,43/16,1088
mitigated,11/4,2944
mitigated,45/16,385
mitigated,23/8,2884
mitigated,47/16,1565
mitigated,3,4070
mitigated,49/16,826
mitigated,25/8,4451
mitigated,51/16,2168
mitigated,13/4,5827
mitigated,53/16,1482
mitigated,27/8,6693
mitigated,55/16,2939
mitigated,7/2,8505
mitigated,57/16,2408
mitigated,29/8,9685
mitigated,59/16,4035
mitigated,15/4,12284
mitigated,61/16,3722
mitigated,31/8,13484
mitigated,63/16,5687
mitigated,4,17306
mitigated,65/16,5605
mitigated,33/8,18318
mitigated,67/16,8120
mitigated,17/4,23940
mitigated,69/16,8120
mitigated,35/8,24983
mitigated,71/16,11458
mitigated,9/2,32835
mitigated,73/16,11316
mitigated,37/8,34427
mitigated,75/16,15824
mitigated,19/4,44683
mitigated,77/16,15379
mitigated,39/8,47423
mitigated,79/16,21532
mitigated,5,59714
mitigated,81/16,20948
mitigated,41/8,64237
mitigated,83/16,29113
mitigated,21/4,78250
mitigated,85/16,28740
mitigated,43/8,85529
mitigated,87/16,39078
mitigated,11/2,101430
mitigated,89/16,39303
mitigated,45/8,112759
mitigated,91/16,51594
mitigated,23/4,131874
mitigated,93/16,52779
mitigated,47/8,148068
mitigated,95/16,66934
mitigated,6,171955
mitigated,97/16,69705
mitigated,49/8,192836
mitigated,99/16,86051
mitigated,25/4,223035
mitigated,101/16,91227
mitigated,51/8,247553
mitigated,103/16,110926
mitigated,13/2,285487
mitigated,105/16,118955
mitigated,53/8,313536
mitigated,107/16,143215
mitigated,27/4,361897
mitigated,109/16,153758
mitigated,55/8,395055
mitigated,111/16,183732
mitigated,7,456794
mitigated,113/16,195959
mitigated,57/8,498540
mitigated,115/16,232708
mitigated,29/4,575152
mitigated,117/16,246602
mitigated,59/8,628390
mitigated,119/16,292192
mitigated,15/2,718525
mitigated,121/16,309004
mitigated,61/8,785895
mitigated,123/16,365567
mitigated,31/4,888124
mitigated,125/16,387614
mitigated,63/8,972607
mitigated,127/16,456197
mitigated,8,1088948
mitigated,129/16,485175
mitigated,65/8,1196463
mitigated,131/16,564767
mitigated,33/4,1333069
mitigated,133/16,602163
mitigated,67/8,1468458
mitigated,135/16,692165
mitigated,17/2,1632321
mitigated,137/16,739899
mitigated,69/8,1796392
mitigated,139/16,842346
mitigated,35/4,1991980
mitigated,141/16,904271
mitigated,71/8,2180434
mitigated,143/16,1024065
mitigated,9,2412070
mitigated,145/16,1102891
mitigated,73/8,2624594
mitigated,147/16,1244707
mitigated,37/4,2900040
mitigated,149/16,1340195
mitigated,75/8,3144441
mitigated,151/16,1506805
mitigated,19/2,3475392
mitigated,153/16,1615667
mitigated,77/8,3765593
mitigated,155/16,1809907
mitigated,39/4,4158307
mitigated,157/16,1932429
mitigated,79/8,4503600
mitigated,159/16,2160141
mitigated,10,4955055
mitigated,161/16,2302095
mitigated,81/8,5360072
mitigated,163/16,2571121
mitigated,41/4,5863583
mitigated,165/16,2741528
mitigated,83/8,6335446
mitigated,167/16,3055416
mitigated,21/2,6897965
mitigated,169/16,3258893
mitigated,85/8,7453819
mitigated,171/16,3614860
mitigated,43/4,8096465
mitigated,173/16,3853267
mitigated,87/8,8753269
mitigated,175/16,4247916
mitigated,11,9499143
mitigated,177/16,4525539
mitigated,89/8,10259129
mitigated,179/16,4965536
mitigated,45/4,11116316
mitigated,181/16,5293678
mitigated,91/8,11966893
mitigated,183/16,5794370
mitigated,23/2,12939710
mitigated,185/16,6182148
mitigated,93/8,13877151
mitigated,187/16,6757615
mitigated,47/4,14981873
mitigated,189/16,7203713
mitigated,95/8,16030317
mitigated,191/16,7857423
mitigated,12,17298975
mitigated,193/16,8352033
mitigated,97/8,18498285
mitigated,195/16,9086443
mitigated,49/4,19947912
mitigated,197/16,9629235
mitigated,99/8,21322598
mitigated,199/16,10456334
mitigated,25/2,22941169
mitigated,201/16,11064781
mitigated,101/8,24491751
mitigated,203/16,12005297
mitigated,51/4,26256392
mitigated,205/16,12703915
mitigated,103/8,27989563
mitigated,207/16,13765764
mitigated,13,29914886
mitigated,209/16,14564983
mitigated,105/8,31866615
mitigated,211/16,15737456
mitigated,53/4,34007091
mitigated,213/16,16634328
mitigated,107/8,36221075
mitigated,215/16,17904359
mitigated,27/2,38631594
mitigated,217/16,18903120
mitigated,109/8,41109327
mitigated,219/16,20285651
mitigated,55/4,43799050
mitigated,221/16,21410281
mitigated,111/8,46501597
mitigated,223/16,22942310
mitigated,14,49460708
mitigated,225/16,24215778
mitigated,113/8,52367780
mitigated,227/16,25927679
mitigated,57/4,55617932
mitigated,229/16,27343563
mitigated,115/8,58783952
mitigated,231/16,29234067
mitigated,29/2,62390528
mitigated,233/16,30764141
mitigated,117/8,65904436
mitigated,235/16,32826380
mitigated,59/4,69904614
mitigated,237/16,34463421
mitigated,119/8,73811889
mitigated,239/16,36714812
mitigated,15,78168585
mitigated,241/16,38498301
mitigated,121/8,82443762
mitigated,243/16,40980247
mitigated,61/4,87090962
mitigated,245/16,42962126
mitigated,123/8,91721600
mitigated,247/16,45688836
mitigated,31/2,96674585
mitigated,249/16,47884210
mitigated,125/8,101717479
mitigated,251/16,50825022
mitigated,63/4,107088674
mitigated,253/16,53209695
mitigated,127/8,112629175
mitigated,255/16,56326821
mitigated,16,118523660
mitigated,257/16,58895220
mitigated,129/8,124555165
mitigated,259/16,62211164
mitigated,65/4,130968232
mitigated,261/16,65002667
mitigated,131/8,137394762
mitigated,263/16,68590373
mitigated,33/2,144261812
mitigated,265/16,71648928
mitigated,133/8,151018742
mitigated,267/16,75561534
mitigated,67/4,158349470
mitigated,269/16,78866329
mitigated,135/8,165528707
mitigated,271/16,83084022
mitigated,17,173429533
mitigated,273/16,86569740
mitigated,137/8,181195344
mitigated,275/16,91052117
mitigated,69/4,189731207
mitigated,277/16,94691921
mitigated,139/8,198152599
mitigated,279/16,99454250
mitigated,35/2,207230363
mitigated,281/16,103317543
mitigated,141/8,216217122
mitigated,283/16,108426866
mitigated,71/4,225687662
mitigated,285/16,112604971
mitigated,143/8,235160747
mitigated,287/16,118082279
mitigated,18,245020716
mitigated,289/16,122591065
mitigated,145/8,255047244
mitigated,291/16,128364034
mitigated,73/4,265486969
mitigated,293/16,133133100
mitigated,147/8,276204988
mitigated,295/16,139117922
mitigated,37/2,287392844
mitigated,297/16,144108630
mitigated,149/8,298780791
mitigated,299/16,150328795
mitigated,75/4,310677240
mitigated,301/16,155592994
mitigated,151/8,322534181
mitigated,303/16,162169426
mitigated,19,334964358
mitigated,305/16,167778122
mitigated,153/8,347142569
mitigated,307/16,174787873
mitigated,77/4,360064315
mitigated,309/16,180698512
mitigated,155/8,372688339
mitigated,311/16,188086175
mitigated,39/2,386245735
mitigated,313/16,194170147
mitigated,157/8,399578041
mitigated,315/16,201831258
mitigated,79/4,413873691
mitigated,317/16,208024647
mitigated,159/8,427998685
mitigated,319/16,215955685
mitigated,20,442863421
mitigated,321/16,222359544
mitigated,161/8,457583981
mitigated,323/16,230652741
mitigated,81/4,472737524
mitigated,325/16,237408615
mitigated,163/8,487850532
mitigated,327/16,246095569
mitigated,41/2,503241854
mitigated,329/16,253210812
mitigated,165/8,518800493
mitigated,331/16,262164909
mitigated,83/4,534705714
mitigated,333/16,269497806
mitigated,167/8,550903204
mitigated,335/16,278567377
mitigated,21,567570209
mitigated,337/16,286019274
mitigated,169/8,584377403
mitigated,339/16,295217207
mitigated,85/4,601709105
mitigated,341/16,302844808
mitigated,171/8,618797877
mitigated,343/16,312346170
mitigated,43/2,636457920
mitigated,345/16,320250463
mitigated,173/8,653563367
mitigated,347/16,330161594
mitigated,87/4,671412238
mitigated,349/16,338281834
mitigated,175/8,688674177
mitigated,351/16,348498293
mitigated,22,706885490
mitigated,353/16,356632968
mitigated,177/8,724678980
mitigated,355/16,366960114
mitigated,89/4,743405120
mitigated,357/16,374995990
mitigated,179/8,761840697
mitigated,359/16,385392964
mitigated,45/2,780846075
mitigated,361/16,393456970
mitigated,181/8,799599722
mitigated,363/16,404040682
mitigated,91/4,818460124
mitigated,365/16,412332810
mitigated,183/8,837159456
mitigated,367/16,423154657
mitigated,23,855756795
mitigated,369/16,431679103
mitigated,185/8,874414568
mitigated,371/16,442564241
mitigated,93/4,893102576
mitigated,373/16,451101429
mitigated,187/8,911976120
mitigated,375/16,461827156
mitigated,47/2,931099657
mitigated,377/16,470199342
mitigated,189/8,950185399
mitigated,379/16,480760805
mitigated,95/4,969606518
mitigated,381/16,489021604
mitigated,191/8,988469430
mitigated,383/16,499645606
mitigated,24,1007686529
mitigated,385/16,507935438
